location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
New Jersey,34,2010-01-23,2.419047619047619,1024.3666666666666,2010,201003,3,2010-01-23,1015.7619047619048
New Mexico,35,2010-01-23,3.8999999999999995,1003.9,2010,201003,3,2010-01-23,1006.5285714285712
New York,36,2010-01-23,0.35238095238095246,1022.5666666666666,2010,201003,3,2010-01-23,1016.2333333333333
North Carolina,37,2010-01-23,7.457142857142856,1021.1,2010,201003,3,2010-01-23,1013.4238095238096
North Dakota,38,2010-01-23,-3.9999999999999996,996.25,2010,201003,3,2010-01-23,1009.3214285714284
Ohio,39,2010-01-23,2.042857142857143,1015.2666666666668,2010,201003,3,2010-01-23,1013.7904761904762
Oklahoma,40,2010-01-23,8.880952380952381,998.1,2010,201003,3,2010-01-23,1005.947619047619
Oregon,41,2010-01-23,7.847619047619047,1011.0666666666666,2010,201003,3,2010-01-23,991.8095238095239
Pennsylvania,42,2010-01-23,1.8761904761904764,1022.1,2010,201003,3,2010-01-23,1015.4619047619047
Rhode Island,44,2010-01-23,0.9285714285714288,1023.4,2010,201003,3,2010-01-23,1015.5714285714286
South Carolina,45,2010-01-23,11.647619047619049,1019.6,2010,201003,3,2010-01-23,1013.4095238095239
South Dakota,46,2010-01-23,-2.8999999999999995,996.7666666666668,2010,201003,3,2010-01-23,1006.697619047619
Tennessee,47,2010-01-23,10.166666666666666,1010.6333333333333,2010,201003,3,2010-01-23,1010.2428571428571
Texas,48,2010-01-23,15.6,1001.3666666666667,2010,201003,3,2010-01-23,1008.4952380952382
Utah,49,2010-01-23,1.4571428571428573,1007.1,2010,201003,3,2010-01-23,1002.1714285714286
Vermont,50,2010-01-23,-3.023809523809524,1026.3,2010,201003,3,2010-01-23,1017.5428571428571
Virginia,51,2010-01-23,6.8047619047619055,1021.9666666666667,2010,201003,3,2010-01-23,1013.8785714285716
Washington,53,2010-01-23,7.490476190476189,1009.4666666666667,2010,201003,3,2010-01-23,993.8000000000001
