weekendingdate,location,pct_hosp,date
2024-05-25T00:00:00.000,13,0.2438,2024-05-25
2024-05-25T00:00:00.000,66,0.5,2024-05-25
2024-05-25T00:00:00.000,15,0.25,2024-05-25
2024-05-25T00:00:00.000,19,0.3115,2024-05-25
2024-05-25T00:00:00.000,16,0.5957,2024-05-25
2024-05-25T00:00:00.000,17,0.4577,2024-05-25
2024-05-25T00:00:00.000,18,0.3803,2024-05-25
2024-05-25T00:00:00.000,20,0.4336,2024-05-25
2024-05-25T00:00:00.000,21,0.3393,2024-05-25
2024-05-25T00:00:00.000,22,0.463,2024-05-25
2024-05-25T00:00:00.000,25,0.0,2024-05-25
2024-05-25T00:00:00.000,24,0.2549,2024-05-25
2024-05-25T00:00:00.000,23,0.5135,2024-05-25
2024-05-25T00:00:00.000,26,0.6731,2024-05-25
2024-05-25T00:00:00.000,27,0.0,2024-05-25
2024-05-25T00:00:00.000,29,0.4194,2024-05-25
2024-05-25T00:00:00.000,69,0.0,2024-05-25
2024-05-25T00:00:00.000,28,0.5755,2024-05-25
2024-05-25T00:00:00.000,30,0.6349,2024-05-25
2024-05-25T00:00:00.000,37,0.0296,2024-05-25
2024-05-25T00:00:00.000,38,0.2857,2024-05-25
2024-05-25T00:00:00.000,31,0.2857,2024-05-25
2024-05-25T00:00:00.000,33,0.2692,2024-05-25
2024-05-25T00:00:00.000,34,0.9529,2024-05-25
2024-05-25T00:00:00.000,35,0.9184,2024-05-25
2024-05-25T00:00:00.000,32,0.0588,2024-05-25
2024-05-25T00:00:00.000,36,0.4537,2024-05-25
2024-05-25T00:00:00.000,39,0.271,2024-05-25
2024-05-25T00:00:00.000,40,0.2199,2024-05-25
2024-05-25T00:00:00.000,41,0.4355,2024-05-25
2024-05-25T00:00:00.000,42,0.6743,2024-05-25
2024-05-25T00:00:00.000,72,0.0741,2024-05-25
2024-05-25T00:00:00.000,44,0.5833,2024-05-25
2024-05-25T00:00:00.000,45,0.3067,2024-05-25
2024-05-25T00:00:00.000,46,0.377,2024-05-25
2024-05-25T00:00:00.000,47,0.406,2024-05-25
2024-05-25T00:00:00.000,48,0.0865,2024-05-25
2024-05-25T00:00:00.000,US,0.3855,2024-05-25
2024-05-25T00:00:00.000,49,0.5357,2024-05-25
2024-05-25T00:00:00.000,51,0.3564,2024-05-25
2024-05-25T00:00:00.000,78,0.5,2024-05-25
2024-05-25T00:00:00.000,50,0.2667,2024-05-25
2024-05-25T00:00:00.000,53,0.9691,2024-05-25
2024-05-25T00:00:00.000,55,0.6871,2024-05-25
2024-05-25T00:00:00.000,54,0.0169,2024-05-25
2024-05-25T00:00:00.000,56,0.7667,2024-05-25
2024-06-01T00:00:00.000,02,0.5833,2024-06-01
2024-06-01T00:00:00.000,01,0.12,2024-06-01
2024-06-01T00:00:00.000,05,0.4022,2024-06-01
2024-06-01T00:00:00.000,60,1.0,2024-06-01
2024-06-01T00:00:00.000,04,0.4141,2024-06-01
2024-06-01T00:00:00.000,06,0.5139,2024-06-01
2024-06-01T00:00:00.000,08,0.35,2024-06-01
2024-06-01T00:00:00.000,09,0.9063,2024-06-01
2024-06-01T00:00:00.000,11,0.7273,2024-06-01
2024-06-01T00:00:00.000,10,0.5455,2024-06-01
2024-06-01T00:00:00.000,12,0.3709,2024-06-01
2024-06-01T00:00:00.000,13,0.2438,2024-06-01
2024-06-01T00:00:00.000,66,0.5,2024-06-01
